country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
GBR,2022,,,,84.398,15.602,-0.0819252846341849,7.92204883147916,5.41072659300228,3070667732359.21,45850.4261222629,4.18694187519546,3088329472400.49,2.22718397866051,646479589242.409,,6.38457177472438,,62.8941915625886,
GBR,2021,82.8,80.7,78.7,84.152,15.848,-0.0819253049161613,2.51837109614205,0.0165739998990233,3122480345924.54,46585.8975644567,7.68565664671709,3117696729240.22,2.16157191775693,698966445449.866,100.0,6.41938576712047,98.99,60.590878697727,
GBR,2020,82.4,80.3512195121951,78.4,83.903,16.097,0.365758263815142,0.98948670377243,5.93314681453445,2704609160088.15,40318.4169225055,-11.3556760569182,2643852716859.46,2.15677756004236,609120843387.932,100.0,7.6188345905585,97.09,59.8637936967966,69.4837265014648
GBR,2019,83.3,81.4048780487805,79.6,83.652,16.348,0.564131113399897,1.73810460086511,2.1134137816924,2857057847953.02,42747.080460496,1.0327408419658,2855883547433.12,1.98132730031255,543214827128.757,100.0,6.66646706676357,103.58,64.3349916992353,65.7733612060547
GBR,2018,83.1,81.2560975609756,79.5,83.398,16.602,0.605929132212552,2.29283990345939,1.73785288253913,2878152147315.82,43306.3083049317,1.09062395623573,2838922264241.22,1.93995346271687,531440446229.708,100.0,6.33004538991663,99.6,64.9635906016937,61.3828887939453
GBR,2017,83.1,81.2560975609756,79.5,83.143,16.857,0.679374473924223,2.55775577557754,1.79116422658598,2683488510504.04,40622.6893883232,1.74995379706114,2654594464504.78,1.94766638785079,499384355820.54,100.0,6.64400665272059,102.2,64.4950043357148,59.9955711364746
GBR,2016,83.0,81.1560975609756,79.4,82.886,17.114,0.757874492811929,1.00841736811403,1.87860951820822,2699659680997.2,41146.0773555246,1.39384882462006,2636540825081.9,1.97673348686221,516538209807.73,100.0,6.83366051304608,97.96,64.8831360051534,58.4256210327148
GBR,2015,82.8,80.9560975609756,79.2,82.626,17.374,0.792367505802859,0.368046842325369,0.712571162002718,2934857946213.47,45071.0743234873,1.58497938949145,2871047254146.38,2.04405824127615,572469006449.675,100.0,6.17567024852601,101.36,64.3817432397119,56.4584884643555
GBR,2014,83.2,81.3048780487805,79.5,82.365,17.635,0.736463978721671,1.45112016293279,1.27779694526409,3065223279583.79,47447.5889322667,2.44246580096015,3010427530738.94,2.18411844544609,609376248287.116,100.0,6.36091668605867,100.68,64.5902705941024,56.5644989013672
GBR,2013,82.9,81.0048780487805,79.2,82.102,17.898,0.669740535540783,2.29166666666666,2.17128685858923,2786315215249.95,43449.0917173139,1.14021296406929,2736879622207.81,2.29111791300379,561025663546.284,100.0,5.63814127080943,92.75,64.9435335095854,57.038761138916
GBR,2012,82.8,80.9048780487805,79.1,81.837,18.163,0.695353132322269,2.57323479654528,1.47630051250903,2706340967030.68,42485.5860695397,0.745478657756621,2681210131121.15,2.41848641777485,562787607035.431,100.0,6.19125978214314,90.8,64.4672874394204,59.4021186828613
GBR,2011,83.0,80.9512195121951,79.0,81.57,18.43,0.781506562236639,3.85611244682819,2.12421156255054,2666403005061.42,42150.6981408821,0.280839242919754,2677578367416.49,2.49660572562908,558447677256.163,100.0,5.91768098654438,96.62,64.1571892025711,59.1459312438965
GBR,2010,82.4,80.4024390243902,78.5,81.302,18.698,0.783888646646516,2.49265472467065,1.43351938337761,2491397494467.95,39693.1938701237,1.63027404455211,2492429665850.71,2.56799960467203,536534428025.437,100.0,6.12218624852784,94.33,63.9167169546156,58.9233512878418
